first_name,second_name,web_name,position,team,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,ict_index,form,now_cost,selected_by_percent,news,news_added,yellow_cards,red_cards
Ryan,Fraser,Fraser,Midfielder,Newcastle,1,1.0,20,0,0,0,0,0,0.5,1.0,55,0.1,,,0,0
Jamaal,Lascelles,Lascelles,Defender,Newcastle,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.4,,,0,0
Dwight,Gayle,Gayle,Forward,Newcastle,0,0.0,0,0,0,0,0,0,0.0,0.0,55,0.2,,,0,0
Paul,Dummett,Dummett,Defender,Newcastle,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.0,Calf injury - Unknown return date,2021-08-06T06:30:03.773119Z,0,0
Javier,Manquillo,Manquillo,Defender,Newcastle,0,0.0,0,0,0,0,0,0,0.0,0.0,40,9.7,,,0,0
Emil,Krafth,Krafth,Defender,Newcastle,0,0.0,84,0,0,0,4,0,1.5,0.0,45,0.1,,,0,0
Jacob,Murphy,Murphy,Midfielder,Newcastle,7,7.0,90,1,0,0,4,0,9.4,7.0,50,0.2,,,0,0
Fabian,Schär,Schär,Defender,Newcastle,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.3,,,0,0
Isaac,Hayden,Hayden,Midfielder,Newcastle,2,2.0,90,0,0,0,4,0,2.0,2.0,45,0.2,,,0,0
Allan,Saint-Maximin,Saint-Maximin,Forward,Newcastle,6,6.0,90,0,1,0,4,0,9.8,6.0,65,5.1,,,0,0
Miguel,Almirón,Almirón,Midfielder,Newcastle,2,2.0,90,0,0,0,4,0,4.2,2.0,55,0.5,,,0,0
Sean,Longstaff,S.Longstaff,Midfielder,Newcastle,1,1.0,6,0,0,0,0,0,0.5,1.0,45,0.3,,,0,0
Joelinton Cássio,Apolinário de Lira,Joelinton,Forward,Newcastle,1,1.0,5,0,0,0,0,0,0.1,1.0,60,0.6,,,0,0
Jamal,Lewis,Lewis,Defender,Newcastle,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.2,,,0,0
Matthew,Longstaff,M.Longstaff,Midfielder,Newcastle,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.1,,,0,0
Federico,Fernández,Fernández,Defender,Newcastle,0,0.0,90,0,0,0,4,0,5.1,0.0,45,0.2,,,0,0
Freddie,Woodman,Woodman,Goalkeeper,Newcastle,6,6.0,90,0,0,0,4,4,5.1,6.0,45,0.3,,,0,0
Mark,Gillespie,Gillespie,Goalkeeper,Newcastle,0,0.0,0,0,0,0,0,0,0.0,0.0,40,0.2,,,0,0
Billy,Gilmour,Gilmour,Midfielder,Norwich,2,2.0,90,0,0,0,3,0,1.4,2.0,45,8.9,,,0,0
Michael,McGovern,McGovern,Goalkeeper,Norwich,0,0.0,0,0,0,0,0,0,0.0,0.0,40,0.7,,,0,0
Tim,Krul,Krul,Goalkeeper,Norwich,2,2.0,90,0,0,0,3,3,3.1,2.0,45,1.5,,,0,0
Teemu,Pukki,Pukki,Forward,Norwich,2,2.0,76,0,0,0,3,0,2.3,2.0,60,6.6,,,0,0
Marco,Stiepermann,Stiepermann,Midfielder,Norwich,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.0,Left the club by mutual consent on 30/6. - Unknown return date,2021-07-01T13:30:07.826050Z,0,0
Lukas,Rupp,Rupp,Midfielder,Norwich,2,2.0,90,0,0,0,3,0,2.8,2.0,45,0.1,,,0,0
Kenny,McLean,McLean,Midfielder,Norwich,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.1,,,0,0
Grant,Hanley,Hanley,Defender,Norwich,1,1.0,90,0,0,0,3,0,7.0,1.0,45,0.2,,,0,0
Onel,Hernández,Hernández,Midfielder,Norwich,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.1,,,0,0
Sam,Byram,Byram,Defender,Norwich,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.0,Hamstring injury - Unknown return date,2021-08-09T19:30:13.347594Z,0,0
Jordan,Hugill,Hugill,Forward,Norwich,0,0.0,0,0,0,0,0,0,0.0,0.0,55,0.0,,,0,0
Kieran,Dowell,Dowell,Midfielder,Norwich,1,1.0,4,0,0,0,0,0,2.9,1.0,55,0.1,,,0,0
Christoph,Zimmermann,Zimmermann,Defender,Norwich,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.1,,,0,0
Todd,Cantwell,Cantwell,Midfielder,Norwich,1,1.0,85,0,0,0,3,0,4.5,1.0,55,0.7,,2021-08-08T16:00:04.100803Z,1,0
Max,Aarons,Aarons,Defender,Norwich,1,1.0,90,0,0,0,3,0,4.3,1.0,45,2.3,,,0,0
Jacob,Sørensen,Sørensen,Defender,Norwich,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.1,,,0,0
Przemyslaw,Placheta,Placheta,Midfielder,Norwich,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.0,Illness - Unknown return date,2021-08-13T13:30:15.129315Z,0,0
Adam,Idah,Idah,Forward,Norwich,1,1.0,13,0,0,0,0,0,3.7,1.0,50,0.5,,,0,0
Josh,Martin,Martin,Midfielder,Norwich,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.0,Season long loan to Milton Keynes Dons,2021-07-02T08:46:00.301629Z,0,0
Andrew,Omobamidele,Omobamidele,Defender,Norwich,0,0.0,0,0,0,0,0,0,0.0,0.0,40,1.5,Illness - 75% chance of playing,2021-08-13T13:30:15.204866Z,0,0
Angus,Gunn,Gunn,Goalkeeper,Norwich,0,0.0,0,0,0,0,0,0,0.0,0.0,40,1.5,,,0,0
Milot,Rashica,Rashica,Midfielder,Norwich,2,2.0,76,0,0,0,3,0,3.9,2.0,55,0.2,,,0,0
Ben,Gibson,Gibson,Defender,Norwich,1,1.0,90,0,0,0,3,0,8.4,1.0,45,0.1,,,0,0
Dimitris,Giannoulis,Giannoulis,Defender,Norwich,1,1.0,90,0,0,0,3,0,3.6,1.0,45,0.1,,,0,0
Pierre,Lees-Melou,Lees-Melou,Midfielder,Norwich,2,2.0,90,0,0,0,3,0,6.3,2.0,50,0.1,,,0,0
Bali,Mumba,Mumba,Defender,Norwich,0,0.0,0,0,0,0,0,0,0.0,0.0,40,0.4,,,0,0
Joshua,Sargent,Sargent,Forward,Norwich,1,1.0,13,0,0,0,0,0,0.7,1.0,55,0.1,,,0,0
Christos,Tzolis,Tzolis,Midfielder,Norwich,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.1,,,0,0
Theo,Walcott,Walcott,Midfielder,Southampton,2,2.0,79,0,0,0,2,0,0.9,2.0,60,0.3,,,0,0
Fraser,Forster,Forster,Goalkeeper,Southampton,0,0.0,0,0,0,0,0,0,0.0,0.0,45,1.2,,,0,0
Alex,McCarthy,McCarthy,Goalkeeper,Southampton,2,2.0,90,0,0,0,3,3,2.2,2.0,45,1.6,,,0,0
Oriol,Romeu Vidal,Romeu,Midfielder,Southampton,2,2.0,79,0,0,0,2,0,2.2,2.0,45,0.6,,,0,0
Nathan,Redmond,Redmond,Midfielder,Southampton,1,1.0,7,0,0,0,0,0,0.6,1.0,60,0.1,,,0,0
Jack,Stephens,Stephens,Defender,Southampton,1,1.0,90,0,0,0,3,0,1.3,1.0,45,0.1,,,0,0
Stuart,Armstrong,S.Armstrong,Midfielder,Southampton,0,0.0,0,0,0,0,0,0,0.0,0.0,60,0.4,,,0,0
James,Ward-Prowse,Ward-Prowse,Midfielder,Southampton,2,2.0,90,0,0,0,3,0,5.2,2.0,65,4.2,,2021-08-06T06:30:03.792978Z,0,0
Kyle,Walker-Peters,Walker-Peters,Defender,Southampton,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.8,,,0,0
Jan,Bednarek,Bednarek,Defender,Southampton,0,0.0,0,0,0,0,0,0,0.0,0.0,45,1.1,,,0,0
Daniel,N'Lundulu,Nlundulu,Forward,Southampton,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.0,Joined Lincoln City on a season-long loan - Expected back 01 Jul,2021-07-14T19:01:37.238557Z,0,0
Che,Adams,Adams,Forward,Southampton,5,5.0,90,0,1,0,3,0,5.5,5.0,70,1.8,,,0,0
Nathan,Tella,Tella,Midfielder,Southampton,1,1.0,10,0,0,0,1,0,0.3,1.0,50,0.1,,,0,0
William,Smallbone,Smallbone,Midfielder,Southampton,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.0,Knee injury - Unknown return date,2021-06-22T11:30:10.599194Z,0,0
Michael,Obafemi,Obafemi,Forward,Southampton,0,0.0,0,0,0,0,0,0,0.0,0.0,45,13.1,,,0,0
Ibrahima,Diallo,Diallo,Midfielder,Southampton,1,1.0,10,0,0,0,1,0,2.0,1.0,45,0.1,,,0,0
Moussa,Djenepo,Djenepo,Midfielder,Southampton,2,2.0,90,0,0,0,3,0,3.8,2.0,55,0.1,,,0,0
Mohammed,Salisu,Salisu,Defender,Southampton,1,1.0,90,0,0,0,3,0,4.4,1.0,45,0.1,,,0,0
Romain,Perraud,Perraud,Defender,Southampton,1,1.0,82,0,0,0,3,0,1.9,1.0,50,0.1,,,0,0
Tino,Livramento,Livramento,Defender,Southampton,1,1.0,90,0,0,0,3,0,3.5,1.0,40,1.9,,,0,0
Mohamed,Elyounoussi,Elyounoussi,Midfielder,Southampton,0,0.0,0,0,0,0,0,0,0.0,0.0,55,0.0,,,0,0
Armando,Broja,Broja,Forward,Southampton,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.8,,,0,0
Shane,Long,Long,Forward,Southampton,0,0.0,0,0,0,0,0,0,0.0,0.0,55,0.2,,,0,0
Adam,Armstrong,A.Armstrong,Forward,Southampton,6,6.0,90,1,0,0,3,0,7.4,6.0,60,1.8,,,0,0
Yan,Valery,Valery,Defender,Southampton,0,0.0,0,0,0,0,0,0,0.0,0.0,40,0.1,,,0,0
Joe,Hart,Hart,Goalkeeper,Spurs,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.0,Transferred to Celtic,2021-08-04T08:23:39.667120Z,0,0
Hugo,Lloris,Lloris,Goalkeeper,Spurs,10,10.0,90,0,0,1,0,4,3.2,10.0,55,4.0,,,0,0
Moussa,Sissoko,Sissoko,Midfielder,Spurs,0,0.0,0,0,0,0,0,0,0.0,0.0,45,1.5,,,0,0
Toby,Alderweireld,Alderweireld,Defender,Spurs,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.0,Transferred to Al-Duhail SC,2021-07-27T14:30:07.238332Z,0,0
Erik,Lamela,Lamela,Midfielder,Spurs,0,0.0,0,0,0,0,0,0,0.0,0.0,60,0.0,Transferred to Sevilla,2021-07-27T08:24:25.288357Z,0,0
Harry,Kane,Kane,Forward,Spurs,0,0.0,0,0,0,0,0,0,0.0,0.0,125,11.5,Lack of match fitness - 75% chance of playing,2021-08-13T14:30:15.738576Z,0,0
Serge,Aurier,Aurier,Defender,Spurs,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.7,,,0,0
Heung-Min,Son,Son,Midfielder,Spurs,10,10.0,90,1,0,1,0,0,9.4,10.0,100,22.5,,,0,0
Matt,Doherty,Doherty,Defender,Spurs,1,1.0,7,0,0,0,0,0,0.3,1.0,50,0.8,,,0,0
Eric,Dier,Dier,Defender,Spurs,7,7.0,90,0,0,1,0,0,1.7,7.0,45,2.1,,,0,0
Lucas,Rodrigues Moura da Silva,Lucas Moura,Midfielder,Spurs,2,2.0,90,0,0,1,0,0,9.7,2.0,65,1.1,,,1,0
Bamidele,Alli,Dele,Midfielder,Spurs,3,3.0,90,0,0,1,0,0,1.5,3.0,65,1.4,,,0,0
Ben,Davies,Davies,Defender,Spurs,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.3,,,0,0
Pierre-Emile,Højbjerg,Højbjerg,Midfielder,Spurs,3,3.0,89,0,0,1,0,0,4.6,3.0,50,3.0,,,0,0
Harry,Winks,Winks,Midfielder,Spurs,0,0.0,0,0,0,0,0,0,0.0,0.0,45,1.2,,,0,0
Davinson,Sánchez,Sánchez,Defender,Spurs,5,5.0,90,0,0,1,0,0,2.5,5.0,45,0.8,,,1,0
Ryan,Sessegnon,Sessegnon,Defender,Spurs,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.2,,,0,0
Steven,Bergwijn,Bergwijn,Midfielder,Spurs,6,6.0,76,0,1,1,0,0,6.8,6.0,60,0.5,,,0,0
Sergio,Reguilón,Reguilón,Defender,Spurs,7,7.0,90,0,0,1,0,0,3.8,7.0,50,3.6,,,0,0
Japhet,Tanganga,Tanganga,Defender,Spurs,6,6.0,82,0,0,1,0,0,2.2,6.0,45,0.7,,2021-06-22T11:30:10.616221Z,0,0
Giovani,Lo Celso,Lo Celso,Midfielder,Spurs,1,1.0,13,0,0,0,0,0,0.6,1.0,60,0.2,,,0,0
Oliver,Skipp,Skipp,Midfielder,Spurs,3,3.0,90,0,0,1,0,0,1.7,3.0,45,0.5,,,0,0
Joe,Rodon,Rodon,Defender,Spurs,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.1,,,0,0
Tanguy,Ndombele,Ndombele,Midfielder,Spurs,0,0.0,0,0,0,0,0,0,0.0,0.0,60,0.3,,,0,0
Pierluigi,Gollini,Gollini,Goalkeeper,Spurs,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.3,,,0,0
Bryan,Gil Salvatierra,Bryan,Midfielder,Spurs,0,0.0,0,0,0,0,0,0,0.0,0.0,60,0.1,,2021-08-13T14:30:15.963382Z,0,0
Cristian,Romero,Romero,Defender,Spurs,1,1.0,1,0,0,0,0,0,0.0,1.0,50,0.4,,2021-08-09T16:30:10.964036Z,0,0
Dane,Scarlett,Scarlett,Forward,Spurs,0,0.0,0,0,0,0,0,0,0.0,0.0,45,2.1,,,0,0
Ben,Foster,Foster,Goalkeeper,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,40,27.8,,,0,0
Danny,Rose,Rose,Defender,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.6,,,0,0
Dan,Gosling,Gosling,Midfielder,Watford,1,1.0,21,0,0,0,2,0,0.3,1.0,50,0.1,,,0,0
Craig,Cathcart,Cathcart,Defender,Watford,1,1.0,90,0,0,0,2,0,1.3,1.0,45,0.2,,,0,0
Troy,Deeney,Deeney,Forward,Watford,1,1.0,11,0,0,0,1,0,0.2,1.0,55,3.2,,,0,0
Tom,Cleverley,Cleverley,Midfielder,Watford,5,5.0,78,0,1,0,1,0,3.7,5.0,50,0.2,,,0,0
Francisco,Femenía Far,Femenía,Defender,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.2,,,0,0
Andre,Gray,Gray,Forward,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,55,0.3,,,0,0
Christian,Kabasele,Kabasele,Defender,Watford,1,1.0,90,0,0,0,2,0,2.4,1.0,45,0.1,,,0,0
Nathaniel,Chalobah,Chalobah,Midfielder,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.0,Illness - Expected back 21 Aug,2021-08-12T12:00:08.997086Z,0,0
Will,Hughes,Hughes,Midfielder,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.1,,,0,0
William,Troost-Ekong,Troost-Ekong,Defender,Watford,1,1.0,90,0,0,0,2,0,0.8,1.0,45,0.1,,,0,0
Stipe,Perica,Perica,Forward,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,45,4.0,Transferred to Maccabi Tel Aviv,2021-08-14T18:30:10.219289Z,0,0
Daniel,Bachmann,Bachmann,Goalkeeper,Watford,1,1.0,90,0,0,0,2,0,0.3,1.0,45,2.2,,,0,0
Adam,Masina,Masina,Defender,Watford,1,1.0,90,0,0,0,2,0,0.8,1.0,45,0.1,,,0,0
Ken,Sema,Sema,Midfielder,Watford,1,1.0,90,0,0,0,2,0,3.7,1.0,55,0.1,,,1,0
Philip,Zinckernagel,Zinckernagel,Midfielder,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,55,0.0,Joined Nottingham Forest on a season-long loan - Expected back 01 Jul,2021-08-08T12:00:11.230037Z,0,0
Isaac,Success Ajayi,Success,Forward,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.6,,,0,0
Ayotomiwa,Dele-Bashiru,Dele-Bashiru,Midfielder,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.0,Joined Reading on a season-long loan - Expected back 01 Jul,2021-08-13T09:00:11.852434Z,0,0
Ashley,Fletcher,Fletcher,Forward,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.3,,,0,0
Francisco,Sierralta,Sierralta,Defender,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.2,,,0,0
Domingos,Quina,Quina,Midfielder,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.1,,,0,0
Marc,Navarro,Navarro,Defender,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,40,0.8,,,0,0
Ismaila,Sarr,Sarr,Midfielder,Watford,9,9.0,90,1,0,0,2,0,13.9,9.0,60,4.1,,,0,0
Jeremy,Ngakia,Ngakia,Defender,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.1,,,0,0
Ben,Wilmot,Wilmot,Defender,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.0,Transferred to  Stoke City,2021-06-25T10:10:54.512279Z,0,0
Joseph,Hungbo,Hungbo,Midfielder,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.0,,,0,0
Imrân,Louza,Louza,Midfielder,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,55,0.0,,,0,0
João Pedro,Junqueira de Jesus,João Pedro,Forward,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,55,0.2,Knee injury - Unknown return date,2021-08-12T12:00:09.007012Z,0,0
Kwadwo,Baah,Baah,Midfielder,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.1,,,0,0
Emmanuel,Dennis,Dennis,Forward,Watford,12,12.0,65,1,1,1,0,0,18.3,12.0,50,2.8,Knock - 75% chance of playing,2021-08-14T18:30:10.328920Z,0,0
Matthew,Pollock,Pollock,Defender,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,40,0.9,,,0,0
Oghenekaro Peter,Etebo,Etebo,Midfielder,Watford,1,1.0,90,0,0,0,2,0,3.0,1.0,45,0.2,,,1,0
Joshua,King,King,Forward,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,55,0.3,Groin Injury - Expected back 21 Aug,2021-08-12T12:00:09.067582Z,0,0
Adedapo,Awokoya-Mebude,Mebude,Forward,Watford,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.3,Season long loan to AFC Wimbledon,2021-08-10T08:33:41.561267Z,0,0
Juan Camilo,Hernández Suárez,Cucho,Forward,Watford,6,6.0,24,1,0,0,2,0,6.3,6.0,50,1.0,,,0,0
Juraj,Kucka,Kucka,Midfielder,Watford,2,2.0,68,0,0,1,0,0,1.1,2.0,55,0.0,,,1,0
Mark,Noble,Noble,Midfielder,West Ham,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.7,,,0,0
Darren,Randolph,Randolph,Goalkeeper,West Ham,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.2,,,0,0
Lukasz,Fabianski,Fabianski,Goalkeeper,West Ham,1,1.0,90,0,0,0,2,1,1.3,1.0,50,2.1,,,0,0
Angelo,Ogbonna,Ogbonna,Defender,West Ham,1,1.0,90,0,0,0,2,0,1.3,1.0,50,0.1,,2021-08-10T08:00:10.277396Z,0,0
Winston,Reid,Reid,Defender,West Ham,0,0.0,0,0,0,0,0,0,0.0,0.0,40,2.0,,,0,0
Aaron,Cresswell,Cresswell,Defender,West Ham,7,7.0,90,1,0,0,2,0,9.1,7.0,55,18.1,,,0,0
Andriy,Yarmolenko,Yarmolenko,Midfielder,West Ham,1,1.0,1,0,0,0,0,0,0.1,1.0,55,0.3,,,0,0
Michail,Antonio,Antonio,Forward,West Ham,13,13.0,90,1,2,0,2,0,12.9,13.0,75,26.3,,,0,0
Craig,Dawson,Dawson,Defender,West Ham,1,1.0,90,0,0,0,2,0,4.4,1.0,50,0.3,,,0,0
Ryan,Fredericks,Fredericks,Defender,West Ham,1,1.0,2,0,0,0,0,0,0.0,1.0,45,0.2,,,0,0
Manuel,Lanzini,Lanzini,Midfielder,West Ham,0,0.0,0,0,0,0,0,0,0.0,0.0,60,0.1,,2021-08-13T13:00:15.122575Z,0,0
Arthur,Masuaku,Masuaku,Defender,West Ham,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.1,Lack of match fitness - 75% chance of playing,2021-08-10T08:00:10.295760Z,0,0
Vladimir,Coufal,Coufal,Defender,West Ham,1,1.0,90,0,0,0,2,0,5.0,1.0,50,13.2,,,0,0
Saïd,Benrahma,Benrahma,Midfielder,West Ham,12,12.0,87,1,1,0,2,0,12.8,12.0,60,8.3,,,0,0
Jarrod,Bowen,Bowen,Midfielder,West Ham,2,2.0,89,0,0,0,2,0,7.2,2.0,65,1.6,,,0,0
Declan,Rice,Rice,Midfielder,West Ham,2,2.0,90,0,0,0,2,0,5.9,2.0,50,4.5,,,0,0
Tomas,Soucek,Soucek,Midfielder,West Ham,8,8.0,90,1,0,0,2,0,15.0,8.0,60,11.2,,,0,0
Pablo,Fornals,Fornals,Midfielder,West Ham,5,5.0,90,0,1,0,2,0,11.1,5.0,60,0.4,,,0,0
Issa,Diop,Diop,Defender,West Ham,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.5,,,0,0
Ben,Johnson,Johnson,Defender,West Ham,1,1.0,1,0,0,0,0,0,0.1,1.0,40,2.5,,,0,0
Alphonse,Areola,Areola,Goalkeeper,West Ham,0,0.0,0,0,0,0,0,0,0.0,0.0,50,1.3,,,0,0
Frederik,Alves,Alves,Defender,West Ham,0,0.0,0,0,0,0,0,0,0.0,0.0,40,0.5,Joined Sunderland on a season-long loan - Expected back 01 Jul,2021-08-14T17:00:13.907661Z,0,0
Conor,Coventry,Coventry,Midfielder,West Ham,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.1,,,0,0
Jamal,Baptiste,Baptiste,Defender,West Ham,0,0.0,0,0,0,0,0,0,0.0,0.0,40,0.0,,,0,0
João Filipe Iria,Santos Moutinho,Moutinho,Midfielder,Wolves,2,2.0,65,0,0,0,1,0,2.3,2.0,50,0.5,,,0,0
Rui Pedro,dos Santos Patrício,Patrício,Goalkeeper,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.0,Transferred to Roma,2021-07-14T07:47:44.687993Z,0,0
Willy,Boly,Boly,Defender,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.1,Hamstring injury - 25% chance of playing,2021-08-09T18:30:12.373456Z,0,0
Conor,Coady,Coady,Defender,Wolves,2,2.0,90,0,0,0,1,0,1.1,2.0,45,7.1,,,0,0
Raúl,Jiménez,Jiménez,Forward,Wolves,2,2.0,90,0,0,0,1,0,5.9,2.0,75,3.5,,,0,0
Romain,Saïss,Saïss,Defender,Wolves,2,2.0,90,0,0,0,1,0,3.3,2.0,50,0.6,,,0,0
Fernando,Marçal,Marçal,Defender,Wolves,1,1.0,90,0,0,0,1,0,4.0,1.0,45,0.1,,,1,0
Jonathan,Castro Otto,Jonny,Defender,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.0,Knee injury - Unknown return date,2021-06-22T11:30:10.631811Z,0,0
Leander,Dendoncker,Dendoncker,Midfielder,Wolves,1,1.0,24,0,0,0,0,0,1.2,1.0,50,0.2,,,0,0
Adama,Traoré,Traoré,Midfielder,Wolves,2,2.0,90,0,0,0,1,0,12.1,2.0,60,1.1,,,0,0
Rúben Diogo,da Silva Neves,Neves,Midfielder,Wolves,2,2.0,90,0,0,0,1,0,4.5,2.0,55,1.5,,,0,0
Nélson,Cabral Semedo,Semedo,Defender,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,50,1.6,,,0,0
Daniel,Castelo Podence,Podence,Midfielder,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,55,0.0,Groin Injury - Unknown return date,2021-06-22T11:30:10.652938Z,0,0
Max,Kilman,Kilman,Defender,Wolves,2,2.0,90,0,0,0,1,0,7.9,2.0,45,0.2,,,0,0
Morgan,Gibbs-White,Gibbs-White,Midfielder,Wolves,1,1.0,4,0,0,0,0,0,2.0,1.0,45,0.5,,,0,0
Pedro,Lomba Neto,Neto,Midfielder,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,65,0.0,Knee injury - Unknown return date,2021-06-22T11:30:10.668592Z,0,0
Owen,Otasowie,Otasowie,Midfielder,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.3,,,0,0
Ki-Jana,Hoever,Hoever,Defender,Wolves,1,1.0,90,0,0,0,1,0,3.6,1.0,40,2.2,,,1,0
Andreas,Söndergaard,Söndergaard,Goalkeeper,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,40,1.3,,,0,0
Fabio,Silva,Fabio Silva,Forward,Wolves,1,1.0,1,0,0,0,0,0,0.0,1.0,60,0.9,,,0,0
Yerson,Mosquera Valdelamar,Mosquera,Defender,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.0,Hamstring injury - 25% chance of playing,2021-08-09T18:30:12.430525Z,0,0
John,Ruddy,Ruddy,Goalkeeper,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.2,,,0,0
Francisco,Machado Mota de Castro Trincão,Trincão,Midfielder,Wolves,2,2.0,85,0,0,0,1,0,6.4,2.0,60,0.4,,,0,0
Rayan,Ait Nouri,Ait Nouri,Defender,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.6,,,0,0
José,Malheiro de Sá,Sá,Goalkeeper,Wolves,3,3.0,90,0,0,0,1,4,2.6,3.0,50,0.4,,,0,0
Patrick,Cutrone,Cutrone,Forward,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,50,0.2,Season long loan to Empoli,2021-08-15T12:06:51.809579Z,0,0
Luke,Cundle,Cundle,Midfielder,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.0,,,0,0
Chem,Campbell,Campbell,Midfielder,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,45,0.1,,,0,0
Christian,Marques,Marques,Defender,Wolves,0,0.0,0,0,0,0,0,0,0.0,0.0,40,0.1,,,0,0
